#h	fwdEuler	bwdEuler	Heun	RK4
0.000109018449238513 	7.89422537764893e-06 	7.88837184641934e-06 	7.99969697866401e-06 	8.22307559155584e-06
0.000112201845430196 	7.47731687804027e-06 	7.46845821692647e-06 	7.57571744826256e-06 	7.78750430038201e-06
0.000115478198468946 	7.07013560508613e-06 	7.05809784520701e-06 	7.16132688017834e-06 	7.36130664589241e-06
0.000118850222743702 	6.67388762125532e-06 	6.65848895781305e-06 	6.75751510705187e-06 	6.94535005780805e-06
0.000122320711904993 	6.2898189473987e-06 	6.27134382934062e-06 	6.36551771299122e-06 	6.54086046537374e-06
0.000125892541179417 	5.91921670580181e-06 	5.89733359928025e-06 	5.98661106995059e-06 	6.23109027574573e-06
0.000129568669751702 	5.56341029206816e-06 	5.53773116392414e-06 	5.62211349870489e-06 	5.84655794396298e-06
0.000133352143216332 	5.22377257455578e-06 	5.19389783109345e-06 	5.27338645839425e-06 	5.47729886304558e-06
0.000137246096100756 	4.90172112396797e-06 	4.86723924900865e-06 	4.94183576555665e-06 	5.12472426538191e-06
0.000141253754462275 	4.59871947201639e-06 	4.55920665302386e-06 	4.62891284165917e-06 	4.79026275514861e-06
0.000145378438560766 	4.31627840012619e-06 	4.27153294247796e-06 	4.33611599007425e-06 	4.47539625175576e-06
0.000149623565609443 	4.05595725933511e-06 	4.00607242678543e-06 	4.06499170428414e-06 	4.18165434492007e-06
0.000153992652605949 	3.83457484812249e-06 	3.78570487255234e-06 	3.85449920543832e-06 	3.9440258771656e-06
0.000158489319246111 	3.68025067012917e-06 	3.63290414097095e-06 	3.67347454538535e-06 	3.72115953576742e-06
0.000163117290922784 	3.60089695197163e-06 	3.55598619350417e-06 	3.56667880338859e-06 	3.57206949710838e-06
0.000167880401812256 	3.60637913055072e-06 	3.56362655100925e-06 	3.54334551392409e-06 	3.50506439478809e-06
0.000172782598050786 	3.7062971202524e-06 	3.66613703243278e-06 	3.6147939854681e-06 	3.52982177807235e-06
0.000177827941003892 	3.9109919340599e-06 	3.87562546292869e-06 	3.79074597050396e-06 	3.61877269278111e-06
0.000183020610631106 	4.23313892419758e-06 	4.20385359233838e-06 	4.08383838130403e-06 	3.84711744149674e-06
0.00018836490894898 	4.68961467179033e-06 	4.6651813102528e-06 	4.50942637817552e-06 	4.20643588267813e-06
0.000193865263595221 	5.29459876403013e-06 	5.27860198522095e-06 	5.08495739701928e-06 	4.71314547309669e-06
0.000199526231496888 	6.06797053317432e-06 	6.0618276715644e-06 	5.8275524002598e-06 	5.38505256372367e-06
0.000205352502645715 	7.44883271492957e-06 	7.37374219447009e-06 	7.58907013022268e-06 	7.98570339846951e-06
0.000211348903983665 	6.98755836267688e-06 	6.902184807977e-06 	7.10055272745592e-06 	7.45486162519608e-06
0.000217520403401952 	6.55668854023552e-06 	6.46048240434495e-06 	6.64151975189034e-06 	6.95230709693985e-06
0.000223872113856834 	6.15924584460768e-06 	6.05094054967611e-06 	6.2142700304985e-06 	6.48030482042425e-06
0.000230409297605584 	5.81096916432683e-06 	5.70141734720507e-06 	5.82943878999949e-06 	6.09932293976053e-06
0.000237137370566165 	5.56030116488033e-06 	5.45270265219206e-06 	5.53847977112677e-06 	5.70451657745924e-06
0.000244061906804198 	5.42028833094183e-06 	5.31716373032826e-06 	5.35831430827674e-06 	5.41549204833313e-06
