# nm = 1000 nc = 10 len = 200 npart = 2 beta = 0.3
#part 	obs1 	obs2
0	46.6677	64.7875
1	40.3322	63.3554
0	46.812	64.9249
1	40.1684	63.2909
0	47.8569	64.7541
1	39.4414	63.2339
0	48.5894	64.7746
1	39.8932	63.3422
0	47.844	64.8742
1	40.9662	63.3584
0	47.7571	64.7841
1	41.0094	63.4725
0	47.525	64.8355
1	41.5396	63.4711
0	49.3887	65.0173
1	40.1295	63.2602
0	48.2103	64.7945
1	40.7481	63.2551
0	46.4679	64.9514
1	40.0464	63.5228
0	44.695	64.7475
1	39.9452	63.4089
0	47.8485	64.8166
1	39.9089	63.4136
0	47.1908	64.938
1	39.7553	63.3156
0	49.3325	64.8175
1	39.2403	63.2478
0	48.6252	64.8678
1	39.3315	63.4526
0	48.5471	64.7686
1	38.9489	63.3502
0	48.2669	64.9172
1	39.7457	63.3344
0	47.6209	64.7733
1	39.8522	63.4344
0	48.8785	64.8237
1	40.1626	63.4502
0	48.6036	64.9041
1	39.8137	63.3059
0	49.6873	64.9018
1	40.0884	63.2926
0	48.6995	64.844
1	39.8866	63.3842
0	49.0017	64.9473
1	39.6891	63.2639
0	49.1012	65.0027
1	40.2203	63.3909
0	48.8877	64.9161
1	41.8344	63.3167
0	48.9155	64.8822
1	41.9666	63.415
0	46.9495	64.9056
1	43.7173	63.4602
0	47.2441	64.9527
1	43.9473	63.4639
0	49.0239	64.8045
1	45.368	63.4207
0	47.0951	64.7761
1	43.9103	63.3358
0	49.1142	64.9709
1	44.0798	63.3333
0	50.2459	64.7751
1	43.5823	63.4158
0	49.7434	64.7933
1	42.088	63.3201
0	47.9624	64.7242
1	43.0992	63.3126
0	48.0693	64.8185
1	42.6359	63.2036
0	48.2774	65.076
1	41.9879	63.3093
0	46.7845	64.8637
1	41.2356	63.253
0	49.0062	64.7072
1	42.5218	63.3972
0	47.4865	64.9564
1	42.5259	63.2492
0	47.8375	64.8071
1	43.2512	63.3516
0	47.6166	64.9355
1	43.8977	63.2922
0	48.0657	64.9348
1	43.6259	63.3403
0	47.5755	64.8733
1	43.0953	63.2928
0	48.2717	64.8615
1	43.1085	63.3003
0	48.1449	64.8931
1	42.9785	63.2036
0	49.76	64.7708
1	43.3444	63.2582
0	48.9327	64.7775
1	44.0857	63.2592
0	51.7969	64.7392
1	44.9895	63.3873
0	51.1044	64.9295
1	44.1996	63.1676
0	51.8379	64.8626
1	44.7949	63.3195
0	52.6894	64.8855
1	45.7439	63.344
0	52.6469	64.7464
1	46.5113	63.2615
0	53.1167	64.7056
1	47.1994	63.4088
0	54.0326	64.8419
1	48.2648	63.3899
0	55.3798	64.8654
1	47.8354	63.3951
0	55.2353	64.7173
1	46.2998	63.3405
0	55.0997	64.7957
1	46.6878	63.3017
0	55.8578	64.8012
1	46.7712	63.4109
0	57.059	64.9365
1	46.1735	63.2573
0	58.0704	64.7341
1	43.9691	63.3335
0	55.3935	64.7872
1	45.1415	63.2844
0	56.3061	64.7298
1	45.2004	63.4917
0	58.9749	64.7367
1	43.9772	63.2586
0	59.9512	64.7587
1	43.6614	63.3208
0	62.4376	64.8412
1	42.5689	63.2374
0	62.0045	64.823
1	41.8666	63.2693
0	64.1347	64.8852
1	41.4779	63.2218
0	62.6126	64.9113
1	43.0442	63.2271
0	64.12	64.896
1	43.6177	63.3118
0	62.7381	64.8495
1	44.2005	63.259
0	63.1196	64.939
1	45.4059	63.356
0	64.5026	64.7672
1	45.9864	63.4888
0	65.7347	64.7389
1	47.5243	63.3276
0	62.9514	64.8782
1	49.4608	63.447
0	64.8939	64.8703
1	47.4568	63.4112
0	63.4792	64.8459
1	47.3749	63.3061
0	60.691	64.8008
1	49.0028	63.3337
0	60.4442	64.774
1	47.2839	63.398
0	58.423	64.7568
1	46.0779	63.3422
0	56.5297	64.8092
1	46.5743	63.4318
0	56.8078	64.8338
1	47.6585	63.3154
0	54.007	64.8268
1	48.1372	63.3567
0	54.4963	64.8576
1	48.0797	63.34
0	55.3525	64.7827
1	48.1405	63.2937
0	56.4603	64.8811
1	47.0888	63.3
0	55.1656	64.8613
1	47.7542	63.292
0	57.1124	64.7807
1	46.615	63.2866
0	55.7919	64.8077
1	46.2142	63.2715
0	54.9754	64.776
1	48.4672	63.3011
0	54.5701	64.7741
1	48.3715	63.368
0	58.1739	64.8286
1	47.6949	63.4091
0	58.7287	64.9587
1	47.8472	63.2967
0	61.3458	64.7996
1	48.258	63.2771
0	62.0912	64.7969
1	46.9616	63.3003
0	59.1892	64.8392
1	46.4336	63.3215
0	59.8989	64.8676
1	45.7666	63.3079
0	59.7824	64.8539
1	45.0562	63.4084
0	59.3373	64.8251
1	43.9485	63.3918
0	58.7758	64.8821
1	43.8135	63.3807
0	57.7044	64.895
1	42.5594	63.3214
0	57.275	64.7974
1	42.1229	63.395
0	58.3823	64.8525
1	43.6713	63.4131
0	55.6135	64.8282
1	45.0626	63.447
0	54.2975	64.8533
1	45.8802	63.3761
0	51.3196	64.8276
1	46.5336	63.4813
0	51.4003	64.7472
1	45.7016	63.4104
0	53.588	64.7764
1	45.5698	63.3376
0	55.6419	64.9034
1	45.2743	63.3325
0	53.6376	64.7667
1	44.6504	63.2875
0	53.4145	64.8135
1	44.8279	63.4868
0	53.7083	64.8661
1	44.044	63.2944
0	52.4131	64.8814
1	44.947	63.4485
0	51.6405	64.8144
1	44.6493	63.4038
0	49.489	64.8294
1	44.3349	63.3102
0	47.701	64.746
1	44.9772	63.3428
0	47.3268	64.7225
1	45.3523	63.3571
0	45.9547	64.727
1	46.7137	63.2639
0	47.2404	64.7654
1	45.2002	63.2528
0	47.3043	64.8302
1	45.4625	63.1908
0	49.3608	64.8695
