#x 	<E> 	error 	<M> 	error 	d<E>/dT 	error 	d<M>/dh 	error 	B(E) 	error 	B(M) 	derror
0.473	-1.65121 	0.00223669 	0.0877417 	0.051762	4.19998 	0.0643494 	75.5611 	0.981107	1.05514 	0.000908159 	1.05732 	0.00156681
0.474	-1.65396 	0.00253159 	0.133081 	0.0590227	4.14792 	0.0704288 	74.8545 	1.4406	1.05404 	0.000937917 	1.05519 	0.0015969
0.475	-1.65971 	0.00215695 	0.0221411 	0.0551494	4.12578 	0.0638519 	76.8997 	0.562848	1.05362 	0.000818157 	1.05556 	0.00138581
0.476	-1.66489 	0.00220371 	0.0831494 	0.0585799	4.1007 	0.0693369 	76.7043 	0.927672	1.05299 	0.000805915 	1.05336 	0.00146327
0.477	-1.6701 	0.00203557 	0.0723218 	0.0563824	3.86046 	0.0665493 	77.4798 	0.914441	1.04999 	0.000818723 	1.04769 	0.00131347
0.478	-1.66754 	0.0023794 	0.0430884 	0.0566321	4.04122 	0.0773049 	77.3725 	0.793282	1.052 	0.000987126 	1.05223 	0.00170164
0.479	-1.67707 	0.002439 	-0.0696387 	0.0579584	3.87267 	0.071619 	78.0123 	1.07617	1.04946 	0.000846463 	1.04683 	0.00125893
0.48	-1.67516 	0.00244797 	-0.0370264 	0.0627112	3.92206 	0.0660581 	78.0062 	0.705376	1.04999 	0.000849383 	1.04982 	0.0013777
0.481	-1.68221 	0.00218793 	0.046897 	0.0579771	3.78262 	0.0641937 	78.6687 	0.928509	1.04817 	0.000847491 	1.04494 	0.0014686
0.482	-1.68541 	0.00214527 	-0.0175391 	0.0610007	3.65217 	0.0679408 	79.093 	0.544273	1.04641 	0.000888252 	1.0442 	0.00129659
0.483	-1.69081 	0.00203175 	-0.110085 	0.0565457	3.70397 	0.0704056 	78.3701 	1.49138	1.04665 	0.000790229 	1.04261 	0.00128651
0.484	-1.69215 	0.00203573 	-0.0734644 	0.0615644	3.68738 	0.0706325 	79.1163 	1.13434	1.04601 	0.000770798 	1.04265 	0.00139161
0.485	-1.69357 	0.00217802 	0.0297974 	0.0659395	3.59606 	0.0628835 	79.8114 	0.760304	1.04531 	0.000721729 	1.04031 	0.00104531
