#part 	tau 	tpccorr
0	55	-0.173693
0	56	-0.183864
0	57	-0.194679
0	58	-0.20523
0	59	-0.212324
0	60	-0.221375
0	61	-0.228842
0	62	-0.233965
0	63	-0.239104
0	0	0.440655
0	1	0.427571
0	2	0.411522
0	3	0.394038
0	4	0.372939
0	5	0.352604
0	6	0.331503
0	7	0.311681
0	8	0.292466
0	9	0.269891
0	10	0.247527
0	11	0.225265
0	12	0.204444
0	13	0.185469
0	14	0.165288
0	15	0.146601
0	16	0.130682
0	17	0.114254
0	18	0.0994592
0	19	0.0843011
0	20	0.0704434
0	21	0.0559931
0	22	0.0416688
0	23	0.0274498
0	24	0.0125178
0	25	-0.00139253
0	26	-0.0156062
0	27	-0.0292202
0	28	-0.0414659
0	29	-0.0523711
0	30	-0.0646724
0	31	-0.0759664
0	32	-0.0845946
0	33	-0.0930153
0	34	-0.098743
0	35	-0.103142
0	36	-0.108265
0	37	-0.111418
0	38	-0.11375
0	39	-0.119067
0	40	-0.124509
0	41	-0.130043
0	42	-0.135698
0	43	-0.139314
0	44	-0.141658
0	45	-0.14077
0	46	-0.141138
0	47	-0.138608
0	48	-0.135966
0	49	-0.136013
0	50	-0.13792
0	51	-0.141009
0	52	-0.146696
0	53	-0.151677
0	54	-0.158441
0	55	-0.168046
0	56	-0.179718
0	57	-0.190737
0	58	-0.200683
0	59	-0.212637
0	60	-0.221536
0	61	-0.225917
0	62	-0.230964
0	63	-0.234758
0	0	0.466598
0	1	0.454219
0	2	0.439525
0	3	0.421375
0	4	0.406118
0	5	0.391299
0	6	0.376032
0	7	0.359541
0	8	0.339406
0	9	0.320405
0	10	0.303848
0	11	0.288757
0	12	0.273958
0	13	0.257879
0	14	0.240961
0	15	0.220835
0	16	0.201266
0	17	0.183235
0	18	0.16762
0	19	0.15074
0	20	0.135402
0	21	0.117494
0	22	0.102134
0	23	0.0871979
0	24	0.0738512
0	25	0.0626539
0	26	0.0468873
0	27	0.0299382
0	28	0.010809
0	29	-0.00993725
0	30	-0.0297569
0	31	-0.0461938
0	32	-0.0605272
0	33	-0.0754602
0	34	-0.0914899
0	35	-0.106635
0	36	-0.119503
0	37	-0.131216
0	38	-0.143015
0	39	-0.155154
0	40	-0.169545
0	41	-0.183328
0	42	-0.193429
0	43	-0.20022
0	44	-0.208694
0	45	-0.215095
0	46	-0.220979
0	47	-0.224139
0	48	-0.225092
0	49	-0.22377
0	50	-0.220975
0	51	-0.221506
0	52	-0.225485
0	53	-0.231865
0	54	-0.240368
0	55	-0.246885
0	56	-0.253277
0	57	-0.25807
0	58	-0.265196
0	59	-0.269116
0	60	-0.272595
0	61	-0.273765
0	62	-0.274332
0	63	-0.273615
0	0	0.407898
0	1	0.397201
0	2	0.383044
0	3	0.3705
0	4	0.356059
0	5	0.340659
0	6	0.325332
0	7	0.309027
0	8	0.292751
0	9	0.276361
0	10	0.259648
0	11	0.243856
0	12	0.228677
0	13	0.214374
0	14	0.199001
0	15	0.184994
0	16	0.170596
0	17	0.154919
0	18	0.140713
0	19	0.129399
0	20	0.120505
0	21	0.1098
0	22	0.0990508
0	23	0.0878065
0	24	0.075459
0	25	0.0636077
0	26	0.0506032
0	27	0.0347424
0	28	0.0181767
0	29	0.00236139
0	30	-0.0152232
0	31	-0.0314753
0	32	-0.0464038
0	33	-0.061655
0	34	-0.0777804
0	35	-0.091834
0	36	-0.105298
0	37	-0.119472
0	38	-0.13252
0	39	-0.144865
0	40	-0.152251
0	41	-0.158354
0	42	-0.16657
0	43	-0.174683
0	44	-0.178814
0	45	-0.180821
0	46	-0.183737
0	47	-0.188479
0	48	-0.192087
0	49	-0.194213
0	50	-0.196795
0	51	-0.197365
0	52	-0.198332
0	53	-0.201342
0	54	-0.206305
0	55	-0.212443
0	56	-0.218222
0	57	-0.223756
0	58	-0.228531
0	59	-0.233529
0	60	-0.239933
0	61	-0.245852
0	62	-0.253187
0	63	-0.259993
0	0	0.404992
0	1	0.394036
0	2	0.381111
0	3	0.367042
0	4	0.355521
0	5	0.345711
0	6	0.337854
0	7	0.328956
0	8	0.318354
0	9	0.308271
0	10	0.294944
0	11	0.285034
0	12	0.274068
0	13	0.264136
0	14	0.252546
0	15	0.241469
0	16	0.228251
0	17	0.214454
0	18	0.200575
0	19	0.184977
0	20	0.171977
0	21	0.157322
0	22	0.142329
0	23	0.127155
0	24	0.110452
0	25	0.0956097
0	26	0.0791454
0	27	0.0633813
0	28	0.0443817
0	29	0.0260473
0	30	0.00526255
0	31	-0.0170871
0	32	-0.0379458
0	33	-0.0549377
0	34	-0.0698279
0	35	-0.0862404
0	36	-0.101863
0	37	-0.120243
0	38	-0.133836
0	39	-0.146848
0	40	-0.157072
0	41	-0.167089
0	42	-0.176621
0	43	-0.186345
0	44	-0.197171
0	45	-0.206001
0	46	-0.215809
0	47	-0.221946
0	48	-0.22791
0	49	-0.232825
0	50	-0.236941
0	51	-0.244043
0	52	-0.253178
0	53	-0.263575
0	54	-0.272357
0	55	-0.280927
0	56	-0.283666
0	57	-0.286957
0	58	-0.28944
0	59	-0.292511
0	60	-0.296452
0	61	-0.298305
0	62	-0.299562
0	63	-0.297746
0	0	0.481015
0	1	0.470741
0	2	0.459086
0	3	0.447409
0	4	0.439362
0	5	0.430799
0	6	0.42075
0	7	0.410119
0	8	0.398052
0	9	0.386642
0	10	0.372921
0	11	0.358571
0	12	0.341953
0	13	0.326423
0	14	0.309104
0	15	0.290318
0	16	0.270661
0	17	0.250975
0	18	0.23363
0	19	0.218383
0	20	0.199485
0	21	0.176945
0	22	0.155317
0	23	0.135075
0	24	0.116251
0	25	0.0960335
0	26	0.0749952
0	27	0.0534567
0	28	0.0318415
0	29	0.0112497
0	30	-0.00779762
0	31	-0.0275915
0	32	-0.0471726
0	33	-0.066919
0	34	-0.0872392
0	35	-0.106259
0	36	-0.124987
0	37	-0.142719
0	38	-0.157521
0	39	-0.171556
0	40	-0.184315
0	41	-0.196841
0	42	-0.208413
0	43	-0.220701
0	44	-0.23298
0	45	-0.245699
0	46	-0.258393
0	47	-0.270472
0	48	-0.280752
0	49	-0.288508
0	50	-0.295252
0	51	-0.302944
0	52	-0.312875
0	53	-0.321702
0	54	-0.32809
0	55	-0.330951
0	56	-0.3329
0	57	-0.335601
0	58	-0.337662
0	59	-0.341257
0	60	-0.343903
0	61	-0.346453
0	62	-0.347328
0	63	-0.348577
0	0	0.380007
0	1	0.370126
0	2	0.360459
0	3	0.352982
0	4	0.347502
0	5	0.342325
0	6	0.337483
0	7	0.330437
0	8	0.322207
0	9	0.311249
0	10	0.299035
0	11	0.287278
0	12	0.276338
0	13	0.266427
0	14	0.25706
0	15	0.244733
0	16	0.231104
0	17	0.216688
0	18	0.201829
0	19	0.18517
0	20	0.170778
0	21	0.155778
0	22	0.140965
0	23	0.125315
0	24	0.10876
0	25	0.0930462
0	26	0.0768917
0	27	0.0595514
0	28	0.0426463
0	29	0.0265665
0	30	0.0110062
0	31	-0.00528804
0	32	-0.0242397
0	33	-0.0417922
0	34	-0.0583975
0	35	-0.0705337
0	36	-0.0827869
0	37	-0.0982769
0	38	-0.113144
0	39	-0.12542
0	40	-0.139844
0	41	-0.153221
0	42	-0.165292
0	43	-0.176569
0	44	-0.187486
0	45	-0.199267
0	46	-0.212154
0	47	-0.224607
0	48	-0.23685
0	49	-0.247394
0	50	-0.255525
0	51	-0.26278
0	52	-0.270819
0	53	-0.276658
0	54	-0.283715
0	55	-0.288541
0	56	-0.290607
0	57	-0.29327
0	58	-0.297321
0	59	-0.299921
0	60	-0.30131
0	61	-0.301172
0	62	-0.301486
0	63	-0.30355
0	0	0.351636
0	1	0.339498
0	2	0.330088
0	3	0.319523
0	4	0.309156
0	5	0.294478
0	6	0.282857
0	7	0.273343
0	8	0.265246
0	9	0.259132
0	10	0.251184
0	11	0.244445
0	12	0.23739
0	13	0.230679
0	14	0.22333
0	15	0.211178
0	16	0.197433
0	17	0.183166
0	18	0.168337
0	19	0.150691
0	20	0.132238
0	21	0.114208
0	22	0.0988868
0	23	0.0844823
0	24	0.0711015
0	25	0.0601003
0	26	0.0513969
0	27	0.0418201
0	28	0.0334058
0	29	0.020996
0	30	0.00887228
0	31	-0.00558245
0	32	-0.0191858
0	33	-0.0372042
0	34	-0.0533267
0	35	-0.0677146
0	36	-0.0815734
0	37	-0.0948102
0	38	-0.107725
0	39	-0.117373
0	40	-0.127279
0	41	-0.135579
0	42	-0.143768
0	43	-0.152907
0	44	-0.161668
0	45	-0.16895
0	46	-0.17537
0	47	-0.186292
0	48	-0.193984
0	49	-0.202058
0	50	-0.207602
0	51	-0.216934
0	52	-0.221876
0	53	-0.225577
0	54	-0.226439
0	55	-0.230588
0	56	-0.233804
0	57	-0.238259
0	58	-0.243598
0	59	-0.246128
0	60	-0.248876
0	61	-0.253114
0	62	-0.256653
0	63	-0.255228
0	0	0.337517
0	1	0.327724
0	2	0.31783
0	3	0.305783
0	4	0.294669
0	5	0.281313
0	6	0.270774
0	7	0.261092
0	8	0.25054
0	9	0.238667
0	10	0.225918
0	11	0.212139
0	12	0.1971
0	13	0.180065
0	14	0.165254
0	15	0.151277
0	16	0.137972
0	17	0.126057
0	18	0.114835
0	19	0.104159
0	20	0.0923686
0	21	0.0816637
0	22	0.0685587
0	23	0.0527825
0	24	0.0368876
0	25	0.0233923
0	26	0.0101322
0	27	-0.00182649
0	28	-0.0110529
0	29	-0.0164444
0	30	-0.0232467
0	31	-0.0289572
0	32	-0.0365156
0	33	-0.0427154
0	34	-0.0537963
0	35	-0.0630347
0	36	-0.071697
0	37	-0.0800871
0	38	-0.0861091
0	39	-0.0903168
0	40	-0.0940934
0	41	-0.0988792
0	42	-0.10516
0	43	-0.112598
0	44	-0.122236
0	45	-0.132839
0	46	-0.144091
0	47	-0.15199
0	48	-0.159576
0	49	-0.166709
0	50	-0.170691
0	51	-0.174333
0	52	-0.178782
0	53	-0.184408
0	54	-0.188026
0	55	-0.191456
0	56	-0.195233
0	57	-0.200337
0	58	-0.203396
0	59	-0.204745
0	60	-0.204731
0	61	-0.204403
0	62	-0.202311
0	63	-0.200989
0	0	0.361968
0	1	0.348912
0	2	0.334687
0	3	0.32045
0	4	0.299054
0	5	0.276956
0	6	0.257095
0	7	0.233379
0	8	0.209513
0	9	0.186669
0	10	0.164726
0	11	0.142919
0	12	0.119386
0	13	0.100737
0	14	0.0814971
0	15	0.0622449
0	16	0.0457866
0	17	0.031063
0	18	0.0198017
0	19	0.0119919
0	20	0.00953174
0	21	0.010736
0	22	0.0125369
0	23	0.0137732
0	24	0.0187295
0	25	0.0228196
0	26	0.0284211
0	27	0.0329685
0	28	0.0355592
0	29	0.0365253
0	30	0.033686
0	31	0.0301987
0	32	0.0239825
0	33	0.0140647
0	34	0.00593506
0	35	-0.00382947
0	36	-0.0191535
0	37	-0.0321346
0	38	-0.0480675
0	39	-0.0649956
0	40	-0.0783119
0	41	-0.0920622
0	42	-0.106197
0	43	-0.117877
0	44	-0.129981
0	45	-0.140804
0	46	-0.153995
0	47	-0.164484
0	48	-0.171992
0	49	-0.178626
0	50	-0.182219
0	51	-0.183663
0	52	-0.182621
0	53	-0.178857
0	54	-0.173918
0	55	-0.164269
0	56	-0.152868
0	57	-0.147026
0	58	-0.140556
0	59	-0.135655
0	60	-0.136073
0	61	-0.134119
0	62	-0.134761
0	63	-0.138074
0	0	0.336781
0	1	0.324613
0	2	0.31115
0	3	0.294157
0	4	0.273415
0	5	0.254146
0	6	0.234486
0	7	0.215973
0	8	0.201097
0	9	0.184157
0	10	0.166898
0	11	0.152206
0	12	0.13731
0	13	0.123517
0	14	0.108947
0	15	0.094763
0	16	0.0828349
0	17	0.0695628
0	18	0.060046
0	19	0.0530484
0	20	0.0481877
0	21	0.0464669
0	22	0.0430416
0	23	0.0395134
0	24	0.0389437
0	25	0.0374688
0	26	0.0355769
0	27	0.033984
0	28	0.0309862
0	29	0.0285435
0	30	0.0249446
0	31	0.019987
0	32	0.0183096
0	33	0.0138806
0	34	0.0121943
0	35	0.00568311
0	36	-0.0035885
0	37	-0.0141452
0	38	-0.0279539
0	39	-0.0444858
0	40	-0.0611664
0	41	-0.0807996
0	42	-0.100141
0	43	-0.116818
0	44	-0.135779
0	45	-0.151496
0	46	-0.161228
0	47	-0.168401
0	48	-0.171169
0	49	-0.174552
0	50	-0.173934
0	51	-0.173827
0	52	-0.175317
0	53	-0.177071
0	54	-0.178861
0	55	-0.178506
0	56	-0.179747
0	57	-0.182705
0	58	-0.18446
0	59	-0.183952
0	60	-0.181799
0	61	-0.178859
0	62	-0.174197
0	63	-0.169854
0	0	0.342699
0	1	0.331749
0	2	0.321595
0	3	0.312382
0	4	0.300407
0	5	0.287662
0	6	0.274497
0	7	0.2646
0	8	0.252708
0	9	0.241634
0	10	0.231835
0	11	0.219768
0	12	0.209484
0	13	0.199268
0	14	0.189514
0	15	0.176238
0	16	0.162742
0	17	0.153437
0	18	0.141695
0	19	0.129448
0	20	0.118765
0	21	0.108518
0	22	0.0972733
0	23	0.0858712
0	24	0.0754712
0	25	0.0676799
0	26	0.0600556
0	27	0.0534707
0	28	0.0462624
0	29	0.0376571
0	30	0.0279072
0	31	0.0188634
0	32	0.0071766
0	33	-0.00547724
0	34	-0.0176601
0	35	-0.0319097
0	36	-0.0472922
0	37	-0.0617569
0	38	-0.0763097
0	39	-0.089851
0	40	-0.103596
0	41	-0.116034
0	42	-0.127064
0	43	-0.138938
0	44	-0.149731
0	45	-0.160257
0	46	-0.167669
0	47	-0.17736
0	48	-0.18686
0	49	-0.195648
0	50	-0.206408
0	51	-0.215135
0	52	-0.223677
0	53	-0.230276
0	54	-0.236828
0	55	-0.242745
0	56	-0.24487
0	57	-0.247892
0	58	-0.251893
0	59	-0.255401
0	60	-0.257411
0	61	-0.259424
0	62	-0.260363
0	63	-0.260586
0	0	0.449315
0	1	0.437497
0	2	0.424557
0	3	0.41389
0	4	0.401188
0	5	0.385873
0	6	0.369951
0	7	0.352047
0	8	0.334582
0	9	0.312231
0	10	0.29155
0	11	0.274552
0	12	0.257512
0	13	0.241243
0	14	0.227035
0	15	0.213848
